﻿square/moshi
locationtech/udig-platform
enonic/xp
deeplearning4j/deeplearning4j
deeplearning4j/nd4j
linkedin/Spyglass
GoogleCloudPlatform/gcloud-java
avast/android-butterknife-zelezny
eclipse/leshan
hawkular/hawkular-metrics
cybergarage/cybergarage-upnp
Swrve/rate-limited-logger
servicosgovbr/guia-de-servicos
Netflix/Nicobar
nok/soundcloud-java-library
mozilla/j2me.js
expercise/expercise
saulmm/Material-Movies
mvarnagiris/financius-public
ustwo/Clockwise
jai-imageio/jai-imageio-jpeg2000
esig/dss
sonyxperiadev/MultimediaForAndroidLibrary
nextopio/nextop-client
appium/droiddriver
apache/incubator-samoa
embulk/embulk
gwizard/gwizard
GeeQuery/ef-orm
TheMCPEGamer/Dragonet
tchoulihan/bitmerchant
tarql/tarql
jenjinstudios/jenjin
aol/simple-react
JetBrains/teamcity-deployer-plugin
ruediste/btrbck
Netflix/Surus
kenshoo/freemarker-online
fge/grappa
Microsoft/AppInsights-Android
juniversal/jsimple
norecha/pokubot
zsoltherpai/fluent-jdbc
opendatasoft/elasticsearch-plugin-geoshape
juniversal/juniversal
mikvor/hashmapTest
OpenHFT/Chronicle-Wire
mjsax/aeolus
mybatis/ibatis-2
LucidWorks/spark-solr
rejasupotaro/octodroid
etsy/statsd-jvm-profiler
davityle/ngAndroid
edx/edx-app-android
NetApp/NetApp-Hadoop-NFS-Connector
google/google-api-java-client
yoojia/FireEye
square/javapoet
MinecraftForge/FernFlower
openscore/score-actions
google/google-oauth-java-client
dkandalov/limited-wip
google/google-http-java-client
javaparser/javaparser
Netflix/iep
Putnami/putnami-web-toolkit
JakeWharton/Telecine
apache/falcon
viritin/viritin
naver/pinpoint
CorfuDB/CorfuDB
yegor256/netbout
cathive/sass-java
RaiMan/SikuliX2
dsyer/spring-security-angular
outbrain/ob1k
BuiltBrokenModding/ICBM
MicBrain/Graph-API
bywan/trello-java-wrapper
digitalfondue/lavagna
cloudera/spark-dataflow
blad/solid-android
orhanobut/wasp
kontalk/tigase-server
ArtificerRepo/artificer
fge/throwing-lambdas
raulhaag/MiMangaNu
moznion/java-mysql-diff
lejon/T-SNE-Java
micyeung/Sunshine
BjoernKW/ZenQuery
googlesamples/android-testing
druid-io/druid
googlegenomics/dataflow-java
sinkillerj/ProjectE
release-engineering/pom-manipulation-ext
ajohnston9/ciscorouter
GoogleCloudPlatform/DataflowJavaSDK
vert-x3/vertx-reactive-streams
Flow/nbt
neo4j/neo4j-ogm
googlesamples/android-PermissionRequest
Netflix/spectator
oxygenxml/TEI-Facsimile-Plugin
kkapelon/java-testing-with-spock
martinpaljak/GlobalPlatformPro
junichi11/netbeans-github-issues-plugin
lmcgrath/scotch-lang
Raizlabs/Broker
LordH3lmchen/TwitchTools
bedrin/jsonde
KittehOrg/KittehIRCClientLib
TheLQ/PircBotX
ic3fox/jawr
super-csv/super-csv
cternes/openkeepass
stickfigure/gwizard
bedrin/jdbc-sniffer
apache/metamodel
seyhanp/seyhan
snazy/ohc
metricminer-msr/metricminer2
vert-x3/vertx-codegen
vert-x3/vertx-metrics
reds-heig/logisim-evolution
pac4j/play-pac4j
chiuki/gce2retrofit
emory-courses/cs323
EverythingMe/plaxien
sriharshachilakapati/SilenceEngine
WhisperSystems/libaxolotl-android
ExactTarget/fuel-java
DawnFire-Realms/CommunityBridge
englishtown/vertx-cassandra
SahaginOrg/sahagin-java
Netflix/ReactiveLab
xmlunit/xmlunit
Azure/azure-documentdb-java
h6ah4i/android-openslmediaplayer
kaazing/k3po
spring-cloud/spring-cloud-consul
WhisperSystems/PushServer
psidnell/ofexport2
digidotcom/XBeeJavaLibrary
abel533/Mybatis-Spring
kirimin/mitsumine
englishtown/vertx-when
oasp/oasp4j
chocotan/lolibox
jherico/jovr
ctron/package-drone
blackberry/KaBoom
blackberry/Krackle
jkazama/ddd-java
jbossdemocentral/bpms-travel-agency-demo
spirosoik/RapidAndroidApp
whatscloud/whatscloud-android
sword-org/wechat4j
dhleong/intellivim
google/acai
h2oai/h2o
SanderGielisse/Enderstone
fizzed/java-stork
apache/incubator-tamaya
RestExpress/RestExpress-Examples
Raizlabs/DBFlow
nenick/AndroidAppDevelopment
jlpoolen/libreveris
jitsi/jicofo
acciente/oacc-core
jbossdemocentral/brms-coolstore-demo
DroidPlanner/3DRServices
abel533/Mapper
spring-projects/spring-data-keyvalue
IntuitDeveloper/SampleApp-TimeTracking_Invoicing-Java
kohlschutter/junixsocket
fbacchella/RRD4J
kohlschuetter/junixsocket
OPENNETWORKINGLAB/onos
spring-projects/spring-integration-aws
edwardcapriolo/nibiru
spotify/cassandra-reaper
syncthing/syncthing-android
swagger-api/swagger-parser
augustt198/lumen
apache/drill
tech-advantage/sonar-gerrit-plugin
totalvoidness/cryptomator
jprante/elasticsearch-plugin-bundle
jodastephen/property-alliance
ic3fox/jawr-main-repo
haifengl/smile
englishtown/vertx-jersey
SoftInstigate/restheart
eclipsesource/J2V8
InfinityRaider/AgriCraft
revapi/revapi
theDazzler/droidicon
cecom/pomutils
VRL-Studio/VRL
siosio/DomaSupport
WhisperSystems/WebSocket-Resources
serenity-bdd/serenity-jbehave
divolte/divolte-collector
wildfly-extras/wildfly-camel
prometheus/jmx_exporter
softlayer/softlayer-java
pac4j/pac4j
larsgrefer/android-library
takari/takari-smart-builder
serenity-bdd/serenity-demos
urandom/gearshift
yahoo/artifactory_ssh_proxy
Apereo-Learning-Analytics-Initiative/OpenDashboard
meltmedia/dropwizard-crypto
exteso/alf.io
tracee/tracee
vert-x3/vertx-rx
bodiam/markdown-to-asciidoc
TeamBliss-LP/android_frameworks_base
spring-projects/spring-integration-kafka
serenity-bdd/serenity-cucumber
mapzen/open
project-ncl/pnc
petitparser/java-petitparser
novoda/sqlite-analyzer
google/firing-range
novoda/sqlite-provider
neokree/MaterialNavigationDrawer
h2oai/h2o-dev
aboev/photobook-client
spring-projects/spring-integration-java-dsl
rancherio/cattle
davidsowerby/krail
Netflix/ocelli
ypresto/android-transcoder
reinert/requestor
Netflix/Raigad
pedrovgs/Algorithms
novoda/simple-easy-xml-parser
Graphify/graphify
passy/scdl
ksoichiro/Android-ObservableScrollView
Netflix/Prana
real-logic/Agrona
real-logic/Aeron
GumTreeDiff/gumtree
serenity-bdd/serenity-core
FenixEdu/fenixedu-academic
greenrobot/greenrobot-common
aceleradora6-tw/RegistroLivre
fabric8io/quickstarts
wildflyext/wildfly-camel
google/uribeacon
google/thread-weaver
iheartradio/open-m3u8
midonet/midonet
wix/petri
google/guava
jparkie/GivesMeHopeAndroidClient
ColdSauce/Captor
holodeck-b2b/Holodeck-B2B
operasoftware/operaprestodriver
arangodb/arangodb-java-driver
Netflix/dyno
HotelsDotCom/plunger
SkymindIO/deeplearning4j
jagornet/dhcp
PayPal/PayPal-Java-SDK
arquillian/arquillian-cube
awslabs/aws-dynamodb-encryption-java
yandex-qatools/hamcrest-pojo-matcher-generator
simon-heinen/SimpleUi
simpligility/android-maven-plugin
Jimmy-Shi/bean-query
michaelwittig/java-q
vert-x3/service-proxy
torodb/torodb
google/rich-test-results
spring-guides/deprecate-tut-data
spring-guides/deprecate-tut-rest
apache/incubator-reef
shazam/fork
WuXiaolong/WeWin
Conductor/kangaroo
klinker24/Talon-for-Twitter
schema-repo/schema-repo
outbrain/gruffalo
jubeio/jube
jooby-project/jooby
RPTools/maptool
ESAPI/esapi-java-legacy
dangdangdotcom/config-toolkit
blockchain/api-v1-client-java
apache/incubator-calcite
hansenji/pocketknife
googlesamples/android-Interpolator
Vincentyification/JavaBot
tomaswolf/gerrit-gitblit-plugin
cesquivias/mumbler
googlesamples/android-ActivitySceneTransitionBasic
simpligility/android-ndk-maven-plugin
bodar/utterlyidle
oswetto/Loboevolution
bodar/totallylazy
subchen/jetbrick-template-1x
danielnorberg/auto-matter
subchen/jetbrick-template-2x
imglib/imglib2
Yubico/java-u2flib-server
palantir/stash-codesearch-plugin
yahoo/xpath_proto_builder
dpreussler/jodamoblog
ConnectSDK/Connect-SDK-Android-Core
immutables/immutables
basis-technology-corp/tcl-regex-java
HubSpot/jinjava
dswarm/dswarm
google/google-authenticator-android
venmo/android-pin
inductiveautomation/opc-ua-stack
welovecoding/editorconfig-netbeans
droidstealth/droid-stealth
codeine-cd/codeine
conveyal/gtfs-data-manager
entando/entando-components
JetBrains/teamcity-azure-plugin
matrix-org/matrix-android-sdk
Stratio/flume-ingestion
Stratio/streaming-cep-engine
NLPchina/ansj_seg
Graphity/graphity-client
Stratio/deep-spark
weefbellington/screenplay
graphaware/neo4j-reco
Stratio/crossdata
project-flink/flink-graph
FlexTradeUKLtd/jfixture
takari/takari-lifecycle
squeek502/ASMHelper
Accla/d4m_api_java
icode/ameba
cloud-software-foundation/c5
tesis-dynaware/graph-editor
andsel/moquette
google/identity-toolkit-java-client
dpaukov/combinatoricslib
sitewhere/sitewhere
onepf/OPFPush
cloud-software-foundation/c5-replicator
statefulj/statefulj
fcrepo3/gsearch
outbrain/Aletheia
Viscent/JavaConcurrencyPattern
Ullink/simple-slack-api
caskdata/netty-http
usc-isi-i2/Web-Karma
taichi/siden
Robbert1/boot-stateless-auth
greenmail-mail-test/greenmail
googlesamples/android-BasicSyncAdapter
WASdev/standards.jsr352.jbatch
ushahidi/platform-android
roboconf/roboconf-platform
ArcBees/gwtquery
fesh0r/fernflower
btrplace/scheduler
Comcast/cats
aparapi/aparapi
google/cap-library
linkedin/Cubert
percolate/caffeine
lumifyio/securegraph
octo-online/reactive-audit
JasonRuckman/sidney
GoogleCloudPlatform/appengine-pipelines
highsource/jaxb2-basics
caskdata/tephra
OpenSOC/opensoc-streaming
InstantWebP2P/node-android
NirmataOSS/workflow
Realm/realm-java
wb14123/bard
brettwooldridge/HikariJSON
jordw/heftydb
vbence/stream-m
LapisBlue/Pore
spring-cloud/spring-cloud-cluster
abel533/ECharts
SpongePowered/Artemis
ReactiveX/RxJavaMath
bitcoin-solutions/multibit-hardware
TDesjardins/GWT-OL3-Playground
spring-cloud/spring-cloud-cli
alaisi/postgres-async-driver
headwirecom/aem-solr-search
ContinuumIO/nutchpy
psaravan/JamsMusicPlayer
OhmData/c5-replicator
hiteshsondhi88/ffmpeg-android-java
intercom/intercom-java
square/burst
spring-cloud/spring-cloud-config
OpenTOSCA/container
pivotalsoftware/pivotal-samples
xvik/dropwizard-guicey
Ecwid/consul-api
LapisBlue/Commons
payara/Payara
mahmoudparsian/data-algorithms-book
radcortez/wow-auctions
AChep/HeadsUp
springer-opensource/omelet
matiwinnetou/spring-soy-view
AppliedEnergistics/Applied-Energistics-2
thm-projects/arsnova-backend
caskdata/cdap
caskdata/coopr
bryanreinero/Firehose
MCTCP/TerrainControl
PGWelch/com.opendoorlogistics
zk1931/jzab
paukiatwee/budgetapp
idok/jscs-plugin
sk89q/Eduardo
sd4324530/fastweixin
dschulten/hydra-java
ReactiveX/RxSwing
ReactiveX/RxJavaJoins
OpenHFT/Chronicle-Queue
odiszapc/nginx-java-parser
scopely/fontain
spring-projects/spring-sync
OpenMRS/openmrs-module-fhir
vinumeris/lighthouse
stickfigure/objectify-insight
andytill/erlyberly
digitalbuddha/AndroidStarter
vibe-project/vibe-java-server
SkymindIO/nd4j
elibom/jogger
SpringOne2GX-2014/microservice-security
USC-NSL/PUMA
OneDrive/onedrive-picker-android
AzureAD/azure-activedirectory-library-for-java
Instagram/ig-json-parser
spring-cloud/spring-cloud-connectors
openmhealth/omh-shims
dita4publishers/dita4publishers
cymcsg/UltimateAndroid
spotify/crtauth-java
libgdx/gdx-ai
googlesamples/android-FloatingActionButtonBasic
paksv/teamcity-azure-plugin
zafarkhaja/jsemver
ReactiveX/RxJavaString
freenet/contrib
andrewgaul/modernizer-maven-plugin
krschultz/AndroidWeatherBuoyDemo
bither/bitherj
davidmoten/rtree
mulesoft-labs/quartz-mongodb
pushtorefresh/bamboo-storage
ReactiveX/RxJavaReactiveStreams
scriptella/scriptella-etl
sequenceiq/periscope
awslabs/aws-sdk-java-resources
Qkyrie/Twitch
tsagi/JekyllForAndroid
nulab/backlog4j
vogellacompany/eclipse4book
googlemaps/google-maps-services-java
jurmous/etcd4j
pantsbuild/intellij-pants-plugin
SpongePowered/Sponge
forcedotcom/SalesforceMobileSDK-CordovaPlugin
GlowstoneMC/Glowstone
PayPal/SeLion
mulesoft/raml-for-jax-rs
SpongePowered/SpongeAPI
GrammarViz2/grammarviz2_src
OfficeDev/ews-java-api
astefanutti/camel-cdi
codelibs/elasticsearch-dynarank
apache/storm
SudoPlayGames/Joise
Talend/tdi-studio-se
nicklondhe/newsindexer
bitcoin-solutions/multibit-website
phax/ph-css
gustavomondron/twik
NLPchina/elasticsearch-sql
highsource/jsonix-schema-compiler
mcupak/beacon-of-beacons
bjornharrtell/jdbc-http-server
virgo47/javasimon
highsource/jaxb2-annotate-plugin
numenta/htm.java
chanjarster/weixin-java-tools
lyogavin/Pistachio
google/error-prone
awslabs/aws-ant-tasks
stephanenicolas/injectview
tokuhirom/avans
KengoTODA/what-is-maven
relayr/android-sdk
big-mouth-cn/ticket4j
CalebFenton/simplify
ReactiveX/RxNetty
tabulapdf/tabula-java
ClickTravel/Cheddar
poetix/protonpack
ReactiveX/RxAndroid
ReactiveX/RxJava
caelum/vraptor-panettone
nitram509/jmacaroons
senbox-org/s1tbx
Unidata/awips2
ontometrics/slack-youtrack
Cardshifter/Cardshifter
nhatminhle/cofoja
OpenHFT/Koloboke
lightblue-platform/lightblue-core
manfenixhome/RightUtils
jivesoftware/jive-selenium-pages-framework
hdweiss/mOrgAnd
pwittchen/NetworkEvents
SomMeri/matasano-cryptopals-solutions
jparyani/wave
BurstProject/burstcoin
thheller/shadow-pgsql
bitcoin-solutions/multibit-hd
jenkinsci/junit-plugin
OrbitzWorldwide/consul-client
indexiatech/antiquity
methusalah/Draaxben
rapidftr/RapidFTR-Android
bozaro/git-as-svn
PasaLab/Tachyon-Perf
sanity/quickml
thechunknetwork/RedisBungee
mirkosertic/FXDesktopSearch
iluwatar/java-design-patterns
jitsi/jigasi
fernandodev/easy-rating-dialog
Kurento/kurento-java
bitfireAT/cadroid
tim-group/test-driven-detectors4findbugs
jmrozanec/cron-utils
OutSystems/OutSystemsNow-Android
xerial/sqlite-jdbc
ehcache/ehcache3
dropwizard/dropwizard-protobuf
graphaware/neo4j-uuid
Cascading/fluid
pmarches/jStellarAPI
spring-projects/spring-test-htmlunit
HubSpot/Rosetta
mobile-event-processing/Asper
squarespace/jersey2-guice
levigo/jbig2-imageio
41concepts/VALJOGen
dibbhatt/kafka-spark-consumer
mini2Dx/mini2Dx
loldevs/riotapi
shamanland/floating-action-button
murraycu/android-galaxyzoo
mongobee/mongobee
docopt/docopt.java
flexiblepower/powermatcher
Baqend/Orestes-Bloomfilter
casidiablo/multidex
dropwizard/dropwizard-java8
cbitstech/Purple-Robot
SurveyMan/SurveyMan
srikalyc/Sql4D
Universal-Electricity/ICBM
RentTheRunway2/alchemy
247687009/soa
tuenti/ButtonMenu
JD-Software/JDeSurvey
AltBeacon/android-beacon-library
serso/android-checkout
KronicDeth/intellij-elixir
Pragmatists/junitparams
pietermartin/sqlg
TwidereProject/Twidere-Android
fireduck64/jelectrum
andrewgaul/s3proxy
go-ive/steam-api
VHAINNOVATIONS/InfoButtons-182
alexanderdean/Unified-Log-Processing
eXparity/hamcrest-date
techdev-solutions/trackr-backend
OryxProject/oryx
commons-rdf/commons-rdf
OpenSilk/Orpheus
JDatePicker/JDatePicker
freenet/plugin-Freetalk
freenet/plugin-WebOfTrust
stephenostermiller/qqwing
ksfzhaohui/gameserver
jlinn/quartz-redis-jobstore
readydev/retrogram
miho/JCSG
cognitect/transit-java
AdoptOpenJDK/mjprof
OpenHFT/hftc
WhisperSystems/Flock
groupon/jesos
Firebase/geofire-java
spring-platform-samples/eureka
RoyalDev/TheHumanity
freenet/fred
kristian-lange/MechArg
guikeller/jetty-runner
hogelog/line-chart-view
nusco/narjillos
kaazing/robot
sindicetech/siren
clarkparsia/stardog-examples
OpenHFT/Chronicle-Map
pumadong/cl-privilege
ehcache/sizeof
jprante/log4j2-elasticsearch
nightscout/android-uploader
sequenceiq/cloudbreak
holgerbrandl/r4intellij
fluo-io/fluo
yfain/java24hourtrainer2ndedition
quemb/QMBForm
sneerteam/sneer
IBM-Bluemix/todo-apps
xored/yang-ide
Hive2Hive/PeerBox
whois-server-list/public-suffix-list
mcharmas/shoppinglist-clean-architecture-example
theupswell/appengine-counter
AzureAD/azure-activedirectory-library-for-android
openhab/jmdns
codelibs/elasticsearch-reindexing
jmockit/jmockit1
artem-zinnatullin/android-wail-app
vert-x3/codegen
documents4j/documents4j
Linfar/TeamCity.SonarQubePlugin
ruediste1/btrbck
mifmif/Generex
pprados/audit-reactive
EugeneKay/subsonic
google/openrtb-doubleclick
Azure/azure-notificationhubs-samples
mulesoft/jaxrs-to-raml
kairosdb/kairosdb-client
lenskit/lenskit
google/u2f-ref-code
oodrive/eguan
wso2/balana
google/guice
shamanland/xdroid
pilehvar/ADW
ikarienator/pure-idea
freemarker/fmpp
kennycason/kumo
Plaid/plaid-java
wendykierp/JTransforms
rahulkumar2048/Performance-Tweaker
chanjarster/tomcat-mongo-access-log
kairosdb/kairosdb
open-eid/digidoc4j
finn-no/cassandra-hadoop
dashbuilder/dashbuilder
wildfly/wildfly-core
dev9com/parallel-webtest
dvorka/keepass2-to-keepassx
oyachai/HearthSim
lilicoding/soot-infoflow-android-iccta
strongloop/loopback-sdk-android
naver/volley-extensions
neuroph/master
SonarSource/sonar-findbugs
tiagobento/watertemplate-engine
mscharhag/oleaster
ngageoint/anti-piracy-android-app
opener-project/ner-base
OpenClinica/OpenClinica
Stratio/stratio-ingestion
coinbase/coinbase-java
Kixeye/chassis
googlesamples/android-Camera2Basic
uwescience/myria
googlesamples/android-JobScheduler
googlesamples/android-ElevationDrag
googlesamples/android-NavigationDrawer
googlesamples/android-ElevationBasic
naver/ngrinder
naver/yobi
orientechnologies/orientdb-etl
spotify/docker-maven-plugin
idok/eslint-plugin
danmbox/briss2
jamesagnew/hapi-fhir
kuenishi/presto-riak
google/domaintest
searchisko/elasticsearch-river-sysinfo
jmeter-maven-plugin/jmeter-maven-plugin
Team254/TrajectoryLib
hsz/idea-gitignore
gosu-lang/gosu-lang
Talend/tcommon-studio-se
ObeoNetwork/UML-Designer
hal/circuit
HubTurbo/HubTurbo
Clashsoft/Dyvil
gridkit/nanocloud
SnippingToolPlusPlus/SnippingToolPlusPlus
hadooparchitecturebook/hadoop-arch-book
ni3po42/traction.mvc
ethereum/ethereumj
jMetal/jMetal
neo4j-contrib/graph-collections
allanbank/mongodb-async-driver
spring-projects/spring-session
google/truth
pschirmacher/webster
jbachorik/btrace
iilab/PanicButton
BranchMetrics/Branch-Android-SDK
groupon/odo
palominolabs/jvm-ssh-groovy-shell
opentok/opentok-android-sdk-samples
etsy/Conjecture
Netflix-Skunkworks/WSPerfLab
Apereo-Learning-Analytics-Initiative/LearningAnalyticsProcessor
PhantomYdn/wicket-orientdb
libgdx/ashley
InkApplications/android-preferences
stephanenicolas/mimic
liftsecurity/burpbuddy
jelkosz/Kanbanik
darcy-framework/darcy-ui
wuic/wuic
komamitsu/jackson-dataformat-msgpack
eclipse-jetty/eclipse-jetty-plugin
mulesoft-labs/rhinodo
podcastpedia/podcastpedia-web
ObsidianBox/Obsidian
venmo/cursor-utils
lumifyio/lumify
udacity/ud859
tesseradata/RHIPE
infiniteautomation/modbus4j
yammer/breakerbox
att/XACML
structurizr/java
kwon37xi/hibernate4-memcached
matlux/jvm-breakglass
manuzhang/storm-benchmark
holyeye/spring-trace
Sotera/distributed-graph-analytics
Kixeye/kixmpp
eclipse/californium.scandium
netplex/json-smart-v1
netplex/json-smart-v2
ebay/oink
lestard/advanced-bindings
codelibs/elasticsearch-cluster-runner
WebGoat/WebGoat
vladmihalcea/hibernate-master-class
ruby-concurrency/thread_safe
lqd-io/liquid-sdk-android
tectonicus/tectonicus
fcrepo3/fcrepo
pac4j/vertx-pac4j
jimmoores/quandl4j
spotify/helios
ZK-1931/javazab
igniterealtime/jxmpp
AndroidHooker/hooker
Tillerino/Tillerinobot
getsentry/raven-java
spotify/docker-client
frankiesardo/auto-parcel
wildfly-security/wildfly-elytron
laco0416/SmileEssence
xtreemfs/babudb
sequenceiq/cloudbreak-shell
Kixeye/janus
apache/stratos
xtreemfs/xtreemfs
snakerflow/snakerflow
red5/red5-websocket
christoffer/pycharm-pyxl
spearal/spearal-java
ElectronicChartCentre/java-vector-tile
TannerPerrien/picasso-transformations
l3nz/ObjectiveSync
timtiemens/secretshare
timolson/cointrader
knightliao/disconf
willowtreeapps/saguaro
JCTools/JCTools
apache/incubator-blur
jayway/powermock
apache/incubator-brooklyn
squeek502/SpiceOfLife
caoxinyu/RedisClient
semihsalihoglu/graft
jbruchanov/AnUitor
zutherb/AppStash
DeemOpen/zkui
aerospike/aerospike-loader
yinglovezhuzhu/bitmaploader
thatJavaNerd/JRAW
nguyenq/tess4j
tomsteele/burpbuddy
tuenti/SmsRadar
uwolfer/gerrit-rest-java-client
openhab/openhab2
xaguzman/pathfinding
ceph/cephfs-hadoop
sanjivsingh/stackoverflow-java-sdk
flipkart-incubator/foxtrot
giovibal/vertx-mqtt-broker-mod
yesnault/PlayStartApp
yangchenjava/com.yangc.utils
GoogleCloudPlatform/bigdata-interop
remibantos/jeeshop
nhl/link-rest
ArcBees/gwtquery-tooltip-plugin
Azure/azure-storage-android
Eldelshell/jongo
jvirtanen/nassau
reines/dropwizard-debpkg-maven-plugin
Appendium/flatpack
Stratio/stratio-streaming
ranjan-rk/restfiddle
apache/olingo-odata4
apache/olingo-odata2telefonicaid/fiware-cygnus
EdwardRaff/JSAT
CloudSlang/cloud-slang
gid15/jpcsp
MER-C/wiki-java
migzai/irc-api
nativelibs4java/BridJ
elastic/elasticsearch-river-wikipedia
DroidPlanner/DroneKit-Android
Cloudslab/cloudsim
pastekit/twist
crocs-muni/JCAlgTest
otros-systems/otroslogviewer
MALfunction84/psi-probe
elastic/elasticsearch-cloud-azure
fredsa/gwt-dnd
EgorKulikov/idea-chelper
elastic/elasticsearch-analy
Wolfgang-Schuetzelhofer/jcypher
emicklei/rendersnake
ToastShaman/dropwizard-auth-jwt
MilkBowl/VaultAPI
seagate/kinetic-java
netizen539/civcraft
uPhyca/GAlette
tesseract4java/jtesseract
GoogleCloudPlatform/endpoints-codelab-android
stuartgunter/dropwizard-cassandra
AlchemyAPI/alchemyapi_java
noskovd/spring-data-orient
ShifuML/guagua
Stratio/stratio-deep
nasa/OpenSPIFe
graphaware/neo4j-timetree
nemerosa/ontrack
Stratio/stratio-cassandra
egymgmbh/log-queue
RuedigerMoeller/kontraktor
ToToTec/CmdOption
calrissian/flowmix
Stratio/stratio-meta
jindrapetrik/jpexs-decompiler
ehcache/ehcache-jcache
Cascading/cascading-hive
cloudfoundry-community/spring-boot-cf-service-broker
jabrena/livingrobots
nidi3/raml-tester
sualeh/magnetictrackparser
teamed/qulice
TEAMMATES/repo
CIRDLES/Topsoil
google/closure-stylesheets
mendix/RestServices
nutzam/nutzwx
google/closure-templates
neo4j-contrib/cypher-dsl
google/closure-compiler
teamed/requs
pmd/pmd-eclipse-plugin
cegeka/batchers
querydsl/querydsl
lemonlabs/u2020-mortar
salyh/elasticsearch-river-imap
syncany/syncany
bonigarcia/dualsub
thelinmichael/spotify-web-api-java
cping/RipplePower
lumongo/lumongo
nekopanda/logbook
ui4j/ui4j
cglib/cglib
pardom/ollie
CaptainBern/Reflection
OPENNETWORKINGLAB/OpenVirteX
riven8192/LibStruct
sendgridlabs/vertx-scheduler
caelum/mamute
shilad/wikibrain
bytedeco/javacpp
dcevm/dcevm
wgybzbrobot/sns-crm
XiaoMi/themis
codelibs/elasticsearch-taste
SEL-columbia/dristhi
tuplejump/stargate-core
wso2/siddhi
prasanthj/hyperloglog
WalnutiQ/WalnutiQ
JeffreyFalgout/ThrowingStream
esigate/esigate
puniverse/capsule
edgedalmacio/phisix
mimno/Mallet
wgybzbrobot/sentiment-search
XiaoMi/chronos
seleniumQuery/seleniumQuery
TestFX/TestFX
rterp/GMapsFX
glazedlists/glazedlists
Roanis/atg-tdd
the-blue-alliance/the-blue-alliance-android
w3c/ldp-testsuite
HadoopGenomics/Hadoop-BAM
couchbase/couchbase-jvm-core
Label305/Stan-for-Android
recruit-tech/redpen
jphp-compiler/jphp
openMF/android-client
dgageot/simplelenium
sequenceiq/ambari-shell
flipkart-incubator/Lois
ymcao/fullplayer
looly/hutool
w-shackleton/android-netspoof
douglascraigschmidt/POSA-14
hcoles/QuickBuilder
codecentric/spring-boot-starter-batch-web
TNG/jgiven
HubSpot/live-config
marschall/threeten-jpa
jackpf/ApkDownloader
square/okio
thekrakken/java-grok
Vektah/idea-rust
FEMR/femr
unitsofmeasurement/unit-ri
marklogic/java-client-api
mapzen/lost
twotoasters/SectionCursorAdapter
fiji/Trainable_Segmentation
dkharrat/NexusData
Rayman2200/PDFA3
OpenNMS/newts
jvirtanen/parity
igniterealtime/Openfire
buschmais/extended-objects
johnmartel/javaccPlugin
spring-projects/spring-xd-modules
chanan/SignalJ
Azure/azure-storage-java
devnied/EMV-NFC-Paycard-Enrollment
appium/java-client
brendano/arkref
