Project Name,Package Name,Type Name,Method Name,Implementation Smell,Cause of the Smell,Method start line no
SEL-columbia_dristhi,org.ei.drishti.scheduler,AggregateReportsScheduler,startTimedScheduler,Long Statement,The length of the statement "RepeatingSchedulableJob job=new RepeatingSchedulableJob(event`startTime`null`REPEAT_INTERVAL_IN_MINUTES * MILLIS_PER_MINUTE);" is 125.,32
SEL-columbia_dristhi,org.ei.drishti.reporting.repository.cache,CacheableRepository,fetch,Long Identifier,The length of the parameter objectWhichShouldBeFilledWithMoreInformation is 44.,7
SEL-columbia_dristhi,org.ei.drishti.reporting.repository.cache,ReadOnlyCachingRepositoryTest,shouldOnlyFetchNewANMsAndFetchOldOnesFromCache,Magic Number,The method contains a magic number: 4,24
SEL-columbia_dristhi,org.ei.drishti.reporting.repository.cache,ReadOnlyCachingRepositoryTest,objectInDB,Magic Number,The method contains a magic number: 4,32
SEL-columbia_dristhi,org.ei.drishti.reporting.repository.cache,ReadOnlyCachingRepositoryTest,shouldOnlyFetchNewIndicationsAndFetchOldOnesFromCache,Magic Number,The method contains a magic number: 4,39
SEL-columbia_dristhi,org.ei.drishti.reporting.repository.cache,ReadOnlyCachingRepositoryTest,objectInDB,Magic Number,The method contains a magic number: 4,47
SEL-columbia_dristhi,org.ei.drishti.reporting.repository,AllANMsRepository,fetch,Long Statement,The length of the statement "return (ANM)dataAccessTemplate.getUniqueResult(FIND_BY_ANM_ID`new String[]{"anmIdentifier"}`new Object[]{object.anmIdentifier()});" is 130.,25
SEL-columbia_dristhi,org.ei.drishti.reporting.repository,ServicesProvidedRepository,ServicesProvidedRepository,Long Parameter List,The method has 5 parameters. ,40
SEL-columbia_dristhi,org.ei.drishti.reporting.repository,ServicesProvidedRepository,save,Long Parameter List,The method has 10 parameters. ,52
SEL-columbia_dristhi,org.ei.drishti.reporting.repository,ServicesProvidedRepository,save,Long Statement,The length of the statement "ServiceProvider serviceProvider=serviceProvidersRepository.fetchBy(serviceProviderIdentifier`parse(serviceProviderType));" is 121.,52
SEL-columbia_dristhi,org.ei.drishti.reporting.repository,ServicesProvidedRepository,saveReportingDataForIndicator,Long Statement,The length of the statement "this.save(data.get(AllConstants.ReportDataParameters.ANM_IDENTIFIER)`data.get(AllConstants.ReportDataParameters.SERVICE_PROVIDER_TYPE)`data.get(AllConstants.ReportDataParameters.EXTERNAL_ID)`indicator`data.get(AllConstants.ReportDataParameters.SERVICE_PROVIDED_DATE)`data.get(AllConstants.ReportDataParameters.VILLAGE)`data.get(AllConstants.ReportDataParameters.SUB_CENTER)`data.get(AllConstants.ReportDataParameters.PHC)`data.get(AllConstants.ReportDataParameters.QUANTITY)`data.get(AllConstants.ReportDataParameters.DRISTHI_ENTITY_ID));" is 538.,80
SEL-columbia_dristhi,org.ei.drishti.reporting.repository,AllServicesProvidedRepository,save,Long Parameter List,The method has 6 parameters. ,24
SEL-columbia_dristhi,org.ei.drishti.reporting.repository,AllServicesProvidedRepository,delete,Long Statement,The length of the statement "List result=dataAccessTemplate.findByNamedQuery(ServiceProvided.FIND_BY_ANM_IDENTIFIER_WITH_INDICATOR_FOR_MONTH`indicator`LocalDate.parse(startDate).toDate()`LocalDate.parse(endDate).toDate());" is 193.,28
SEL-columbia_dristhi,org.ei.drishti.reporting.repository,AllServicesProvidedRepository,getNewReports,Long Statement,The length of the statement "return dataAccessTemplate.getSessionFactory().getCurrentSession().getNamedQuery(ServiceProvidedReport.FIND_NEW_SERVICE_PROVIDED).setParameter(0`token).setMaxResults(numberOfRowsToFetch).list();" is 193.,42
SEL-columbia_dristhi,org.ei.drishti.reporting.repository,AllAnnualTargetsRepository,fetchFor,Long Statement,The length of the statement "return (AnnualTarget)dataAccessTemplate.getUniqueResult(FIND_BY_ANM_AND_INDICATOR_AND_DATE`new String[]{"anmIdentifier"`"indicator"`"reportDate"}`new Object[]{anmIdentifier`indicator.indicator()`reportDate});" is 208.,25
SEL-columbia_dristhi,org.ei.drishti.reporting.repository,AllIndicatorsRepository,fetch,Long Identifier,The length of the parameter objectWhichShouldBeFilledWithMoreInformation is 44.,22
SEL-columbia_dristhi,org.ei.drishti.reporting.repository,AllIndicatorsRepository,fetch,Long Statement,The length of the statement "return (Indicator)dataAccessTemplate.getUniqueResult(FIND_BY_INDICATOR`new String[]{"indicator"}`new Object[]{objectWhichShouldBeFilledWithMoreInformation.indicator()});" is 169.,22
SEL-columbia_dristhi,org.ei.drishti.reporting.repository,AllServiceProvidersRepository,fetchBy,Long Statement,The length of the statement "return (ServiceProvider)dataAccessTemplate.getUniqueResult(FIND_BY_ANM_IDENTIFIER`new String[]{"anmIdentifier"}`new Object[]{serviceProviderIdentifier});" is 153.,25
SEL-columbia_dristhi,org.ei.drishti.reporting.repository,AllServiceProvidersRepository,fetchBy,Long Statement,The length of the statement "return (ServiceProvider)dataAccessTemplate.getUniqueResult(FIND_BY_PHC_IDENTIFIER`new String[]{"phcIdentifier"}`new Object[]{serviceProviderIdentifier});" is 153.,25
SEL-columbia_dristhi,org.ei.drishti.reporting.repository,AllSP_ANMsRepository,fetchAllANMSInSameSC,Long Statement,The length of the statement "return (List<SP_ANM>)dataAccessTemplate.findByNamedQueryAndNamedParam(SP_ANM.FIND_ANMS_IN_SAME_SC`new String[]{"anmIdentifier"}`new Object[]{anmIdentifier});" is 157.,28
SEL-columbia_dristhi,org.ei.drishti.reporting.repository,AllSP_ANMsRepository,fetchAllANMSInSamePHC,Long Statement,The length of the statement "return (List<SP_ANM>)dataAccessTemplate.findByNamedQueryAndNamedParam(SP_ANM.FIND_ANMS_IN_SAME_PHC`new String[]{"anmIdentifier"}`new Object[]{anmIdentifier});" is 158.,34
SEL-columbia_dristhi,org.ei.drishti.reporting.repository,ANMReportsRepository,ANMReportsRepository,Long Parameter List,The method has 6 parameters. ,44
SEL-columbia_dristhi,org.ei.drishti.reporting.repository,ANMReportsRepository,save,Long Parameter List,The method has 5 parameters. ,57
SEL-columbia_dristhi,org.ei.drishti.reporting.repository,ANMReportsRepository,fetchANMSummary,Long Statement,The length of the statement "List<ANMReportData> allReportData=anmReportDataRepository.fetchByANMIdAndDate(anmIdentifier`reportMonth.startDateOfReportingYear());" is 132.,78
SEL-columbia_dristhi,org.ei.drishti.reporting.repository,ANMReportsRepository,fetchANMSummary,Long Statement,The length of the statement "for (LocalDate indexDate=new LocalDate(reportMonth.startDateOfReportingYear()); indexDate.isBefore(reportMonth.startDateOfNextReportingMonth(today())); indexDate=indexDate.plusMonths(1)) {" is 188.,78
SEL-columbia_dristhi,org.ei.drishti.reporting.repository,ANMReportsRepository,fetchANMSummary,Long Statement,The length of the statement "List<ANMReportData> allReportDataForAMonth=filterReportsByMonth(allReportDataForIndicator`indexDate`reportMonth.endDateOfReportingMonthGivenStartDate(indexDate));" is 162.,78
SEL-columbia_dristhi,org.ei.drishti.reporting.repository,ANMReportsRepository,fetchANMSummary,Long Statement,The length of the statement "monthSummaries.add(new MonthSummary(valueOf(reportingMonthEndDate.getMonthOfYear())`valueOf(reportingMonthEndDate.getYear())`valueOf(currentProgress)`valueOf(aggregatedProgress)`externalIds));" is 192.,78
SEL-columbia_dristhi,org.ei.drishti.reporting.repository,ANMReportsRepository,filterReportsByMonth,Long Statement,The length of the statement "return filter(having(on(ANMReportData.class).date()`allOf(greaterThanOrEqualTo(startDate.toDate())`lessThanOrEqualTo(endDate.toDate())))`reportDataList);" is 153.,130
SEL-columbia_dristhi,org.ei.drishti.reporting.repository,AllLocationsRepository,fetchBy,Long Statement,The length of the statement "return (Location)dataAccessTemplate.getUniqueResult(Location.FIND_BY_VILLAGE_SUBCENTER_AND_PHC_IDENTIFIER`new String[]{"village"`"subCenter"`"phcIdentifier"}`new Object[]{village`subCenter`phcIdentifier});" is 205.,22
SEL-columbia_dristhi,org.ei.drishti.reporting.repository,AllLocationsRepository,fetchByANMIdentifier,Long Statement,The length of the statement "return (Location)dataAccessTemplate.findByNamedQueryAndNamedParam(Location.FIND_BY_ANM_IDENTIFIER`new String[]{"anmIdentifier"}`new Object[]{anmIdentifier}).get(0);" is 164.,29
SEL-columbia_dristhi,org.ei.drishti.reporting.repository,AllLocationsRepository,fetchVillagesForANM,Long Statement,The length of the statement "return dataAccessTemplate.findByNamedQueryAndNamedParam(Location.FIND_VILLAGES_BY_PHC_AND_SUBCENTER`new String[]{"phcIdentifier"`"subCenter"}`new Object[]{location.phc().phcIdentifier()`location.subCenter()});" is 209.,34
SEL-columbia_dristhi,org.ei.drishti.reporting.repository,AllANMReportDataRepository,fetchByANMIdAndDate,Long Statement,The length of the statement "return (List<ANMReportData>)dataAccessTemplate.findByNamedQueryAndNamedParam(FIND_BY_ANM_IDENTIFIER_AND_DATE`new String[]{"anmIdentifier"`"date"}`new Object[]{anmIdentifier`date});" is 180.,32
SEL-columbia_dristhi,org.ei.drishti.reporting.repository,AllANMReportDataRepository,delete,Long Statement,The length of the statement "List result=dataAccessTemplate.findByNamedQuery(FIND_BY_ANM_IDENTIFIER_WITH_INDICATOR_FOR_MONTH`new Object[]{indicator`LocalDate.parse(startDate).toDate()`LocalDate.parse(endDate).toDate()});" is 191.,38
SEL-columbia_dristhi,org.ei.drishti.reporting.repository,AllANMReportDataRepository,getReportsFor,Long Statement,The length of the statement "return dataAccessTemplate.findByNamedQuery(FIND_BY_ANM_IDENTIFIER_FOR_REPORTING_MONTH`new Object[]{anmId`LocalDate.parse(startDate).toDate()`LocalDate.parse(endDate).toDate()});" is 177.,44
SEL-columbia_dristhi,org.ei.drishti.reporting.repository,AllTokensRepository,getAggregateReportsToken,Long Statement,The length of the statement "Token token=(Token)dataAccessTemplate.getUniqueResult(Token.FIND_TOKEN_BY_NAME`new String[]{NAME_PARAMETER}`new String[]{AGGREGATE_REPORTS_TOKEN_NAME});" is 152.,22
SEL-columbia_dristhi,org.ei.drishti.reporting.repository,AllTokensRepository,saveAggregateReportsToken,Long Statement,The length of the statement "Token token=(Token)dataAccessTemplate.getUniqueResult(Token.FIND_TOKEN_BY_NAME`new String[]{NAME_PARAMETER}`new String[]{AGGREGATE_REPORTS_TOKEN_NAME});" is 152.,30
SEL-columbia_dristhi,org.ei.drishti.reporting.repository,ANMReportsRepositoryTest,setUp,Long Statement,The length of the statement "repository=new ANMReportsRepository(anmRepository`indicatorRepository`anmReportDataRepository`annualTargetsRepository`monitor`new ReportMonth());" is 145.,49
SEL-columbia_dristhi,org.ei.drishti.reporting.repository,ANMReportsRepositoryTest,shouldSaveANMReportsAndUseCachedRepositories,Magic Number,The method contains a magic number: 2,56
SEL-columbia_dristhi,org.ei.drishti.reporting.repository,ANMReportsRepositoryTest,shouldSaveANMReportsAndUseCachedRepositories,Magic Number,The method contains a magic number: 2,56
SEL-columbia_dristhi,org.ei.drishti.reporting.repository,ANMReportsRepositoryTest,shouldSaveANMReportsAndUseCachedRepositories,Magic Number,The method contains a magic number: 2,56
SEL-columbia_dristhi,org.ei.drishti.reporting.repository,ANMReportsRepositoryTest,shouldSaveAsPerQuantityIfQuantityIsNotNull,Magic Number,The method contains a magic number: 2,79
