Project Name,Package Name,Type Name,Method Name,Implementation Smell,Cause of the Smell,Method start line no
Flow_Caustic,com.flowpowered.caustic.software,SoftwareShader,compile,Long Statement,The length of the statement "throw new IllegalArgumentException("Cannot instantiate new shader from shader class " + shaderClass.getCanonicalName()`ex);" is 123.,51
Flow_Caustic,com.flowpowered.caustic.software,DataFormat,lookupHash,Long Statement,The length of the statement "return (byte)((type.getMultiplyShift() & 0b11) << 4 | ((type.isInteger() ? 1 : 0) & 0b1) << 3 | ((type.isSigned() ? 1 : 0) & 0b1) << 2 | count & 0b11);" is 151.,91
Flow_Caustic,com.flowpowered.caustic.software,DataFormat,lookupHash,Magic Number,The method contains a magic number: 4,91
Flow_Caustic,com.flowpowered.caustic.software,DataFormat,lookupHash,Magic Number,The method contains a magic number: 3,91
Flow_Caustic,com.flowpowered.caustic.software,DataFormat,lookupHash,Magic Number,The method contains a magic number: 2,91
Flow_Caustic,com.flowpowered.caustic.software,ShaderBuffer,readInt0,Missing default,The following switch statement is missing a default case: !org.eclipse.jdt.core.dom.SwitchStatement@2867e79,224
Flow_Caustic,com.flowpowered.caustic.software,ShaderBuffer,readFloat0,Missing default,The following switch statement is missing a default case: !org.eclipse.jdt.core.dom.SwitchStatement@10faca5b,240
Flow_Caustic,com.flowpowered.caustic.software,ShaderBuffer,writeInt0,Missing default,The following switch statement is missing a default case: !org.eclipse.jdt.core.dom.SwitchStatement@6695efc9,256
Flow_Caustic,com.flowpowered.caustic.software,ShaderBuffer,writeFloat0,Missing default,The following switch statement is missing a default case: !org.eclipse.jdt.core.dom.SwitchStatement@49e42064,273
Flow_Caustic,com.flowpowered.caustic.software,SoftwareVertexArray,setData,Magic Number,The method contains a magic number: 0.5f,57
Flow_Caustic,com.flowpowered.caustic.software,SoftwareVertexArray,setData,Magic Number,The method contains a magic number: 0.5f,57
Flow_Caustic,com.flowpowered.caustic.software,SoftwareVertexArray,setData,Magic Number,The method contains a magic number: 0.5f,57
Flow_Caustic,com.flowpowered.caustic.software,SoftwareVertexArray,setData,Missing default,The following switch statement is missing a default case: !org.eclipse.jdt.core.dom.SwitchStatement@7820fa97,57
