Project Name,Package Name,Type Name,Method Name,Implementation Smell,Cause of the Smell,Method start line no
xp,com.enonic.xp.core.impl.schema.mixin,BuiltinMixinsLoaderTest,testBuiltin,Magic Number,The method contains a magic number: 3,14
xp,com.enonic.xp.core.impl.schema.mixin,BuiltinMixinsLoaderTest,testBuiltin,Magic Number,The method contains a magic number: 2,14
xp,com.enonic.xp.core.impl.schema.mixin,BuiltinMixinsLoaderTest,testBuiltinLoadByApplication,Magic Number,The method contains a magic number: 2,25
xp,com.enonic.xp.core.impl.schema.mixin,BuiltinMixinsLoader,loadByApplication,Long Statement,The length of the statement "final List<Mixin> systemMixinsByApplicationKey=MIXINS.stream().filter(mixin -> mixin.getName().getApplicationKey().equals(applicationKey)).collect(Collectors.toList());" is 168.,148
xp,com.enonic.xp.core.impl.schema.mixin,MixinServiceImpl,getByContentType,Long Statement,The length of the statement "return Mixins.from(contentType.getMetadata().stream().map(this::getByName).filter(Objects::nonNull).collect(Collectors.toSet()));" is 129.,143
xp,com.enonic.xp.core.impl.schema.relationship,RelationshipTypeServiceImplTest,test_empty,Long Identifier,The length of the field DEFAULT_RELATIONSHIP_TYPES_NUMBER is 33.,72
xp,com.enonic.xp.core.impl.schema.relationship,RelationshipTypeServiceImplTest,test_add_removal_application,Long Identifier,The length of the field DEFAULT_RELATIONSHIP_TYPES_NUMBER is 33.,87
xp,com.enonic.xp.core.impl.schema.relationship,RelationshipTypeServiceImplTest,test_get_system_application,Long Identifier,The length of the field DEFAULT_RELATIONSHIP_TYPES_NUMBER is 33.,112
xp,com.enonic.xp.core.impl.schema.relationship,BuiltinRelationshipTypeLoaderTest,testBuiltin,Magic Number,The method contains a magic number: 2,13
xp,com.enonic.xp.core.impl.schema.relationship,BuiltinRelationshipTypeLoader,createRelationshipType,Long Statement,The length of the statement "return RelationshipType.create().name(relationshipTypeName).displayName(displayName).fromSemantic(fromSemantic).toSemantic(toSemantic).addAllowedToTypes(ContentTypeNames.empty()).build();" is 187.,34
xp,com.enonic.xp.core.impl.schema.relationship,BuiltinRelationshipTypeLoader,generateSystemRelationshipTypes,Long Statement,The length of the statement "relationshipType=RelationshipType.create(relationshipType).icon(loadSchemaIcon(RELATIONSHIP_TYPES_FOLDER`relationshipType.getName().getLocalName())).build();" is 157.,46
xp,com.enonic.xp.core.impl.schema.relationship,RelationshipTypeServiceImpl,loadByApplication,Long Statement,The length of the statement "final BundleRelationshipTypeLoader bundleRelationshipTypeLoader=new BundleRelationshipTypeLoader(application.getBundle());" is 122.,86
xp,com.enonic.xp.core.impl.schema.relationship,XmlRelationshipTypeParser,parseTypes,Long Statement,The length of the statement "return types.getChildren("content-type").stream().map(child -> resolver.toContentTypeName(child.getValue())).collect(Collectors.toList());" is 138.,39
xp,com.enonic.xp.core.impl.schema.content,SuperTypeValidatorTest,content_type_passes_validation,Long Statement,The length of the statement "ContentType contentType=ContentType.create().name(ContentTypeName.documentMedia()).superType(ContentTypeName.media()).build();" is 126.,20
xp,com.enonic.xp.core.impl.schema.content,SuperTypeValidatorTest,content_type_passes_validation,Long Statement,The length of the statement "ContentTypeSuperTypeValidator validator=ContentTypeSuperTypeValidator.create().contentTypeService(contentTypeService).build();" is 126.,20
xp,com.enonic.xp.core.impl.schema.content,SuperTypeValidatorTest,content_type_super_is_null,Long Statement,The length of the statement "ContentTypeSuperTypeValidator validator=ContentTypeSuperTypeValidator.create().contentTypeService(contentTypeService).build();" is 126.,38
xp,com.enonic.xp.core.impl.schema.content,SuperTypeValidatorTest,validationResult,Long Statement,The length of the statement "ContentTypeValidationResult validationResult1=ContentTypeValidationResult.from(new ContentTypeValidationError("superType not found: superTypeName"`ContentTypeName.media()));" is 173.,53
xp,com.enonic.xp.core.impl.schema.content,SuperTypeValidatorTest,validationResult,Long Statement,The length of the statement "ContentTypeValidationResult validationResult2=ContentTypeValidationResult.from(new ArrayList<ContentTypeValidationError>(){" is 123.,53
xp,com.enonic.xp.core.impl.schema.content,ContentTypeServiceImpl_getChildrenTest,getChildContentTypes,Long Statement,The length of the statement "final ContentType contentType1=ContentType.create().name("myapplication:my_content_type1").displayName(ContentTypeName.unstructured().toString()).superType(null).setBuiltIn().build();" is 183.,15
xp,com.enonic.xp.core.impl.schema.content,ContentTypeServiceImpl_getChildrenTest,getChildContentTypes,Long Statement,The length of the statement "final ContentType contentType2=ContentType.create().name("myapplication:my_content_type2").displayName("Display Name 2").superType(ContentTypeName.from("myapplication:my_content_type1")).build();" is 195.,15
xp,com.enonic.xp.core.impl.schema.content,ContentTypeServiceImpl_getChildrenTest,getChildContentTypes,Long Statement,The length of the statement "final ContentType contentType3=ContentType.create().name("myapplication:my_content_type3").displayName("Display Name 3").superType(ContentTypeName.from("myapplication:my_content_type2")).build();" is 195.,15
xp,com.enonic.xp.core.impl.schema.content,ContentTypeServiceImpl_getChildrenTest,getChildContentTypes,Long Statement,The length of the statement "final ContentType contentType4=ContentType.create().name("myapplication:my_content_type4").displayName("Display Name 4").superType(ContentTypeName.from("myapplication:my_content_type2")).build();" is 195.,15
xp,com.enonic.xp.core.impl.schema.content,ContentTypeServiceImpl_getChildrenTest,getChildContentTypes,Long Statement,The length of the statement "final ContentType contentType5=ContentType.create().name(ContentTypeName.folder().toString()).displayName("Folder root content type").setBuiltIn().build();" is 155.,15
xp,com.enonic.xp.core.impl.schema.content,ContentTypeServiceImpl_getChildrenTest,getChildContentTypes,Magic Number,The method contains a magic number: 2,15
xp,com.enonic.xp.core.impl.schema.content,ContentTypeServiceImpl_getByNamesTest,testGetByName,Long Statement,The length of the statement "register(createContentType("myapplication:my-contenttype-1"`"DisplayName1")`createContentType("myapplication:my-contenttype-2"`"DisplayName2"));" is 144.,14
xp,com.enonic.xp.core.impl.schema.content,ContentTypeServiceImpl_getByNamesTest,testGetByName,Long Statement,The length of the statement "final GetContentTypesParams params=new GetContentTypesParams().contentTypeNames(ContentTypeNames.from("myapplication:my-contenttype-1"));" is 137.,14
xp,com.enonic.xp.core.impl.schema.content,ContentTypeServiceImpl_getByApplicationTest,testGetByName,Long Statement,The length of the statement "register(createContentType("myapplication:my-contenttype"`"DisplayName1")`createContentType("othermodule:my-contenttype"`"DisplayName2"));" is 138.,13
xp,com.enonic.xp.core.impl.schema.content,XmlContentTypeParserTest,assertResult,Magic Number,The method contains a magic number: 2,51
xp,com.enonic.xp.core.impl.schema.content,AbstractContentTypeServiceTest,register,Long Statement,The length of the statement "Mockito.when(registryImpl.getByApplication(elem.getName().getApplicationKey())).thenReturn(ContentTypes.from(contentTypes.stream().filter(e -> e.getName().getApplicationKey().equals(elem.getName().getApplicationKey())).collect(Collectors.toList())));" is 250.,42
xp,com.enonic.xp.core.impl.schema.content,ContentTypeRegistryImplTest,test_empty,Magic Number,The method contains a magic number: 20,68
xp,com.enonic.xp.core.impl.schema.content,ContentTypeRegistryImplTest,test_add_removal_application,Magic Number,The method contains a magic number: 20,85
xp,com.enonic.xp.core.impl.schema.content,ContentTypeRegistryImplTest,test_get_system_application,Magic Number,The method contains a magic number: 20,111
xp,com.enonic.xp.core.impl.schema.content,ContentTypeRegistryImplTest,test_get_system_application,Magic Number,The method contains a magic number: 5,111
xp,com.enonic.xp.core.impl.schema.content,ContentTypeRegistryImplTest,test_get_system_application,Magic Number,The method contains a magic number: 3,111
xp,com.enonic.xp.core.impl.schema.content,ContentTypeRegistryImplTest,test_get_system_application,Magic Number,The method contains a magic number: 13,111
xp,com.enonic.xp.core.impl.schema.content,BuiltinContentTypeLoaderTest,testBuiltin,Magic Number,The method contains a magic number: 21,12
xp,com.enonic.xp.core.impl.schema.content,BuiltinContentTypeLoaderTest,testBuiltin,Magic Number,The method contains a magic number: 2,12
xp,com.enonic.xp.core.impl.schema.content,BuiltinContentTypeLoaderTest,testBuiltin,Magic Number,The method contains a magic number: 3,12
xp,com.enonic.xp.core.impl.schema.content,BuiltinContentTypeLoaderTest,testBuiltin,Magic Number,The method contains a magic number: 4,12
xp,com.enonic.xp.core.impl.schema.content,BuiltinContentTypeLoaderTest,testBuiltin,Magic Number,The method contains a magic number: 5,12
xp,com.enonic.xp.core.impl.schema.content,BuiltinContentTypeLoaderTest,testBuiltin,Magic Number,The method contains a magic number: 6,12
xp,com.enonic.xp.core.impl.schema.content,BuiltinContentTypeLoaderTest,testBuiltin,Magic Number,The method contains a magic number: 7,12
xp,com.enonic.xp.core.impl.schema.content,BuiltinContentTypeLoaderTest,testBuiltin,Magic Number,The method contains a magic number: 8,12
xp,com.enonic.xp.core.impl.schema.content,BuiltinContentTypeLoaderTest,testBuiltin,Magic Number,The method contains a magic number: 9,12
xp,com.enonic.xp.core.impl.schema.content,BuiltinContentTypeLoaderTest,testBuiltin,Magic Number,The method contains a magic number: 10,12
xp,com.enonic.xp.core.impl.schema.content,BuiltinContentTypeLoaderTest,testBuiltin,Magic Number,The method contains a magic number: 11,12
xp,com.enonic.xp.core.impl.schema.content,BuiltinContentTypeLoaderTest,testBuiltin,Magic Number,The method contains a magic number: 12,12
xp,com.enonic.xp.core.impl.schema.content,BuiltinContentTypeLoaderTest,testBuiltin,Magic Number,The method contains a magic number: 13,12
xp,com.enonic.xp.core.impl.schema.content,BuiltinContentTypeLoaderTest,testBuiltin,Magic Number,The method contains a magic number: 14,12
xp,com.enonic.xp.core.impl.schema.content,BuiltinContentTypeLoaderTest,testBuiltin,Magic Number,The method contains a magic number: 15,12
xp,com.enonic.xp.core.impl.schema.content,BuiltinContentTypeLoaderTest,testBuiltin,Magic Number,The method contains a magic number: 16,12
xp,com.enonic.xp.core.impl.schema.content,BuiltinContentTypeLoaderTest,testBuiltin,Magic Number,The method contains a magic number: 17,12
xp,com.enonic.xp.core.impl.schema.content,BuiltinContentTypeLoaderTest,testBuiltin,Magic Number,The method contains a magic number: 18,12
xp,com.enonic.xp.core.impl.schema.content,BuiltinContentTypeLoaderTest,testBuiltin,Magic Number,The method contains a magic number: 19,12
xp,com.enonic.xp.core.impl.schema.content,BuiltinContentTypeLoaderTest,testBuiltin,Magic Number,The method contains a magic number: 20,12
xp,com.enonic.xp.core.impl.schema.content,ContentTypeServiceImpl_getAllTest,testGetAll,Magic Number,The method contains a magic number: 2,21
xp,com.enonic.xp.core.impl.schema.content,ContentTypeServiceImpl_getAllTest,testGetAll_inlineMixins,Long Statement,The length of the statement "final Mixin mixin=Mixin.create().name("myapplication:my_mixin").addFormItem(Input.create().name("inputToBeMixedIn").label("Mixed in").inputType(InputTypeName.TEXT_LINE).build()).build();" is 186.,36
xp,com.enonic.xp.core.impl.schema.content,ContentTypeServiceImpl_getAllTest,testGetAll_inlineMixins,Long Statement,The length of the statement "final Form transformedForm=Form.create().addFormItem(Input.create().name("inputToBeMixedIn").label("Mixed in").inputType(InputTypeName.TEXT_LINE).build()).build();" is 163.,36
xp,com.enonic.xp.core.impl.schema.content,ContentTypeServiceImpl_getAllTest,testGetAll_inlineMixins,Long Statement,The length of the statement "final ContentType contentType=ContentType.create().superType(ContentTypeName.structured()).name(contentTypeName).displayName("displayName").description("description").form(form).build();" is 186.,36
xp,com.enonic.xp.core.impl.schema.content,ContentTypeSuperTypeValidator,validate,Long Statement,The length of the statement "registerError(new ContentTypeValidationError("Cannot inherit from a final ContentType: " + superType.getName()`contentTypeName));" is 129.,21
xp,com.enonic.xp.core.impl.schema.content,BuiltinContentTypeLoader,generateSystemContentTypes,Long Statement,The length of the statement "contentType=ContentType.create(contentType).icon(loadSchemaIcon(CONTENT_TYPES_FOLDER`contentType.getName().getLocalName())).build();" is 132.,214
xp,com.enonic.xp.core.impl.schema.content,BuiltinContentTypeLoader,loadByApplication,Long Identifier,The length of the identifier systemContentTypesByApplicationKey is 34.,233
xp,com.enonic.xp.core.impl.schema.content,BuiltinContentTypeLoader,loadByApplication,Long Statement,The length of the statement "final List<ContentType> systemContentTypesByApplicationKey=CONTENT_TYPES.stream().filter(contentType -> contentType.getName().getApplicationKey().equals(applicationKey)).collect(Collectors.toList());" is 199.,233
xp,com.enonic.xp.admin.event.impl.json,ContentChangeEventJson,ContentChangeEventJson,Long Statement,The length of the statement "this.changes=event.getChanges().stream().map(ContentServerEventItemJson::new).toArray(ContentServerEventItemJson[]::new);" is 121.,10
xp,com.enonic.xp.admin.event.impl.json,ContentChangeEventJson,ContentServerEventItemJson,Long Statement,The length of the statement "this.contentPaths=contentChange.getContentPaths().stream().map((contentPath) -> contentPath.asAbsolute().toString()).toArray(String[]::new);" is 140.,26
xp,com.enonic.xp.admin.event.impl.json,ContentServerEventItemJson,ContentServerEventItemJson,Long Statement,The length of the statement "this.contentPaths=contentChange.getContentPaths().stream().map((contentPath) -> contentPath.asAbsolute().toString()).toArray(String[]::new);" is 140.,26
xp,com.enonic.xp.launcher.config,ConfigLoaderTest,testHomeConfig,Magic Number,The method contains a magic number: 2,61
xp,com.enonic.xp.launcher.env,EnvironmentResolverTest,resolve,Magic Number,The method contains a magic number: 2,47
xp,com.enonic.xp.launcher.env,RequirementChecker,checkJavaVersion,Magic Number,The method contains a magic number: 40,19
xp,com.enonic.xp.launcher.watch,BundleWatcher,refreshBundles,Empty catch clause,The method has an empty catch block.,159
xp,com.enonic.xp.launcher,Launcher,applySystemPropertyArgs,Magic Number,The method contains a magic number: 2,126
xp,com.enonic.xp.launcher.framework,FrameworkLogger,doLog,Long Parameter List,The method has 5 parameters. ,23
xp,com.enonic.xp.launcher.util,BannerPrinter,getFormattedBuildInfo,Long Statement,The length of the statement "return String.format("Built on %s (hash = %s` branch = %s)"`this.version.getBuildTimestamp()`this.version.getBuildHash()`this.version.getBuildBranch());" is 152.,46
xp,com.enonic.xp.launcher.logging,LogConfigurator,configure,Empty catch clause,The method has an empty catch block.,40
xp,com.enonic.xp.launcher.provision,BundleLocationResolver,getFileName,Magic Number,The method contains a magic number: 2,51
xp,com.enonic.xp.launcher.provision,BundleLocationResolver,getFileName,Magic Number,The method contains a magic number: 3,51
xp,com.enonic.xp.launcher.provision,BundleLocationResolver,getFileName,Magic Number,The method contains a magic number: 3,51
xp,com.enonic.xp.launcher.provision,BundleLocationResolver,getFileName,Magic Number,The method contains a magic number: 4,51
xp,com.enonic.xp.launcher.provision,BundleLocationResolver,getFileName,Magic Number,The method contains a magic number: 4,51
xp,com.enonic.xp.launcher.provision,BundleLocationResolver,getFileInSystem,Magic Number,The method contains a magic number: 2,73
xp,com.enonic.xp.itest.core,AbstractOsgiTest,bundle,Long Statement,The length of the statement "return CoreOptions.bundle("file:/Users/srs/development/workspace/xp/xp-6.0/modules/distro/target/install/system/" + group.replace('.'`'/') + "/"+ artifact+ "/"+ version+ "/"+ artifact+ "-"+ version+ ".jar");" is 207.,13
xp,com.enonic.xp.itest.core,EventPublisherTest,config,Long Statement,The length of the statement "return new Option[]{CoreOptions.junitBundles()`bundle("org.apache.felix"`"org.apache.felix.configadmin"`"1.8.0")`bundle("org.apache.felix"`"org.apache.felix.scr"`"1.8.2")`bundle("com.google.guava"`"guava"`"18.0")`bundle("commons-lang"`"commons-lang"`"2.4")`bundle("commons-io"`"commons-io"`"2.4")`bundle("com.fasterxml.jackson.core"`"jackson-core"`"2.4.1")`bundle("com.fasterxml.jackson.core"`"jackson-annotations"`"2.4.1")`bundle("com.fasterxml.jackson.core"`"jackson-databind"`"2.4.1")`bundle("com.fasterxml.jackson.datatype"`"jackson-datatype-jsr310"`"2.4.1")`bundle("com.enonic.osgi.bundles"`"jparsec"`"2.1.0_1")`project("core-api")`project("core-event")};" is 660.,35
xp,com.enonic.xp.itest.core,EventPublisherTest,testPublish,Magic Number,The method contains a magic number: 2,55
xp,com.enonic.xp.admin.impl.portal,PortalForwardHandlerTest,forward_forbidden,Magic Number,The method contains a magic number: 403,45
xp,com.enonic.xp.admin.impl.portal,PortalForwardHandlerTest,forward_notFound,Magic Number,The method contains a magic number: 404,56
xp,com.enonic.xp.admin.impl.portal,PortalForwardHandler,PortalForwardHandler,Magic Number,The method contains a magic number: 10,27
xp,com.enonic.xp.admin.impl.rest.resource.auth,AuthResourceTest,testLoginWithUsernameSuccess,Long Statement,The length of the statement "final User user=User.create().key(PrincipalKey.ofUser(UserStoreKey.system()`"user1")).displayName("User 1").modifiedTime(Instant.now(clock)).email("user1@enonic.com").login("user1").build();" is 190.,54
xp,com.enonic.xp.admin.impl.rest.resource.auth,AuthResourceTest,testLoginWithUsernameSuccess,Long Statement,The length of the statement "String jsonString=request().path("auth/login").entity("{\"user\":\"user1\"`\"password\":\"password\"`\"rememberMe\":false}"`MediaType.APPLICATION_JSON_TYPE).post().getAsString();" is 178.,54
xp,com.enonic.xp.admin.impl.rest.resource.auth,AuthResourceTest,testLoginWithEmailSuccess,Long Statement,The length of the statement "final User user=User.create().key(PrincipalKey.ofUser(UserStoreKey.system()`"user1")).displayName("User 1").modifiedTime(Instant.now(clock)).email("user1@enonic.com").login("user1").build();" is 190.,76
xp,com.enonic.xp.admin.impl.rest.resource.auth,AuthResourceTest,testLoginWithEmailSuccess,Long Statement,The length of the statement "String jsonString=request().path("auth/login").entity("{\"user\":\"user1@enonic.com\"`\"password\":\"password\"`\"rememberMe\":false}"`MediaType.APPLICATION_JSON_TYPE).post().getAsString();" is 189.,76
xp,com.enonic.xp.admin.impl.rest.resource.auth,AuthResourceTest,testLoginWithUserNameUserStore,Long Statement,The length of the statement "final User user=User.create().key(PrincipalKey.ofUser(UserStoreKey.system()`"user1")).displayName("User 1").modifiedTime(Instant.now(clock)).email("user1@enonic.com").login("user1").build();" is 190.,98
xp,com.enonic.xp.admin.impl.rest.resource.auth,AuthResourceTest,testLoginWithUserNameUserStore,Long Statement,The length of the statement "String jsonString=request().path("auth/login").entity("{\"user\":\"system\\\\user1\"`\"password\":\"password\"`\"rememberMe\":false}"`MediaType.APPLICATION_JSON_TYPE).post().getAsString();" is 188.,98
xp,com.enonic.xp.admin.impl.rest.resource.auth,AuthResourceTest,testLoginFail,Long Statement,The length of the statement "String jsonString=request().path("auth/login").entity("{\"user\":\"user1\"`\"password\":\"password\"`\"rememberMe\":false}"`MediaType.APPLICATION_JSON_TYPE).post().getAsString();" is 178.,120
xp,com.enonic.xp.admin.impl.rest.resource.auth,AuthResourceTest,testLoginUserWithoutLoginAdminRoleFail,Long Statement,The length of the statement "final User user=User.create().key(PrincipalKey.ofUser(UserStoreKey.system()`"user1")).displayName("User 1").modifiedTime(Instant.now(clock)).email("user1@enonic.com").login("user1").build();" is 190.,135
xp,com.enonic.xp.admin.impl.rest.resource.auth,AuthResourceTest,testLoginUserWithoutLoginAdminRoleFail,Long Statement,The length of the statement "String jsonString=request().path("auth/login").entity("{\"user\":\"user1\"`\"password\":\"password\"`\"rememberMe\":false}"`MediaType.APPLICATION_JSON_TYPE).post().getAsString();" is 178.,135
xp,com.enonic.xp.admin.impl.rest.resource.auth,AuthResourceTest,testAuthenticated_authenticated,Long Statement,The length of the statement "final User user=User.create().key(PrincipalKey.ofUser(UserStoreKey.system()`"user1")).displayName("User 1").modifiedTime(Instant.now(clock)).email("user1@enonic.com").login("user1").build();" is 190.,166
xp,com.enonic.xp.admin.impl.rest.resource.schema.mixin,MixinResourceTest,test_get_mixin,Long Statement,The length of the statement "Mixin mixin=Mixin.create().createdTime(LocalDateTime.of(2013`1`1`12`0`0).toInstant(ZoneOffset.UTC)).name(MY_MIXIN_QUALIFIED_NAME_1.toString()).addFormItem(Input.create().name(MY_MIXIN_INPUT_NAME_1).inputType(InputTypeName.TEXT_LINE).label("Line Text 1").required(true).helpText("Help text line 1").required(true).build()).build();" is 330.,54
xp,com.enonic.xp.admin.impl.rest.resource.schema.mixin,MixinResourceTest,test_get_mixin,Long Statement,The length of the statement "String response=request().path("schema/mixin").queryParam("name"`MY_MIXIN_QUALIFIED_NAME_1.toString()).get().getAsString();" is 123.,54
xp,com.enonic.xp.admin.impl.rest.resource.schema.mixin,MixinResourceTest,test_get_mixin,Magic Number,The method contains a magic number: 2013,54
xp,com.enonic.xp.admin.impl.rest.resource.schema.mixin,MixinResourceTest,test_get_mixin,Magic Number,The method contains a magic number: 12,54
xp,com.enonic.xp.admin.impl.rest.resource.schema.mixin,MixinResourceTest,test_get_mixin_not_found,Long Statement,The length of the statement "final MockRestResponse response=request().path("schema/mixin").queryParam("name"`MY_MIXIN_QUALIFIED_NAME_1.toString()).get();" is 125.,71
xp,com.enonic.xp.admin.impl.rest.resource.schema.mixin,MixinResourceTest,test_get_mixin_not_found,Magic Number,The method contains a magic number: 404,71
xp,com.enonic.xp.admin.impl.rest.resource.schema.mixin,MixinResourceTest,test_list_mixins,Long Statement,The length of the statement "Mixin mixin1=Mixin.create().createdTime(LocalDateTime.of(2013`1`1`12`0`0).toInstant(ZoneOffset.UTC)).name(MY_MIXIN_QUALIFIED_NAME_1.toString()).addFormItem(Input.create().name(MY_MIXIN_INPUT_NAME_1).inputType(InputTypeName.TEXT_LINE).label("Line Text 1").required(true).helpText("Help text line 1").required(true).build()).build();" is 331.,81
xp,com.enonic.xp.admin.impl.rest.resource.schema.mixin,MixinResourceTest,test_list_mixins,Long Statement,The length of the statement "Mixin mixin2=Mixin.create().createdTime(LocalDateTime.of(2013`1`1`12`0`0).toInstant(ZoneOffset.UTC)).name(MY_MIXIN_QUALIFIED_NAME_2.toString()).addFormItem(Input.create().name(MY_MIXIN_INPUT_NAME_2).inputType(InputTypeName.TEXT_AREA).label("Text Area").required(true).helpText("Help text area").required(true).build()).build();" is 327.,81
xp,com.enonic.xp.admin.impl.rest.resource.schema.mixin,MixinResourceTest,test_list_mixins,Magic Number,The method contains a magic number: 2013,81
xp,com.enonic.xp.admin.impl.rest.resource.schema.mixin,MixinResourceTest,test_list_mixins,Magic Number,The method contains a magic number: 12,81
xp,com.enonic.xp.admin.impl.rest.resource.schema.mixin,MixinResourceTest,test_list_mixins,Magic Number,The method contains a magic number: 2013,81
xp,com.enonic.xp.admin.impl.rest.resource.schema.mixin,MixinResourceTest,test_list_mixins,Magic Number,The method contains a magic number: 12,81
xp,com.enonic.xp.admin.impl.rest.resource.schema.mixin,MixinResourceTest,testMixinIcon,Long Statement,The length of the statement "Mixin mixin=Mixin.create().name("myapplication:postal_code").displayName("My content type").icon(icon).addFormItem(Input.create().name("postal_code").label("Postal code").inputType(InputTypeName.TEXT_LINE).build()).build();" is 223.,103
xp,com.enonic.xp.admin.impl.rest.resource.schema.mixin,MixinResourceTest,testMixinIcon,Magic Number,The method contains a magic number: 20,103
