Project Name,Package Name,Type Name,Design Smell,Cause of the Smell
Steveice10_MCProtocolLib,com.github.steveice10.mc.protocol.test,MinecraftProtocolTest,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
Steveice10_MCProtocolLib,com.github.steveice10.mc.protocol.test,MinecraftProtocolTest,Unexploited Encapsulation,The tool detected the smell because a set of type checks are performed while those types belong to the same hierarchy. The participating types that were checked are: ClientboundLoginPacket; ClientboundSystemChatPacket in method login
Steveice10_MCProtocolLib,com.github.steveice10.mc.protocol.test,MinecraftProtocolTest,Missing Hierarchy,The tool detected the smell because a set of type checks are performed to explicitly manage variation in behavior where a hierarchy could have been formed consisting of these participating types. The participating types that were checked are: ClientboundLoginPacket; ClientboundSystemChatPacket in method login
Steveice10_MCProtocolLib,com.github.steveice10.mc.protocol,ClientListener,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
Steveice10_MCProtocolLib,com.github.steveice10.mc.protocol,ClientListener,Unexploited Encapsulation,The tool detected the smell because a set of type checks are performed while those types belong to the same hierarchy. The participating types that were checked are: ClientboundHelloPacket; ClientboundGameProfilePacket; ClientboundLoginDisconnectPacket; ClientboundLoginCompressionPacket; ClientboundStatusResponsePacket; ClientboundPongResponsePacket; ClientboundKeepAlivePacket; ClientboundDisconnectPacket in method packetReceived
Steveice10_MCProtocolLib,com.github.steveice10.mc.protocol,ClientListener,Missing Hierarchy,The tool detected the smell because a set of type checks are performed to explicitly manage variation in behavior where a hierarchy could have been formed consisting of these participating types. The participating types that were checked are: ClientboundHelloPacket; ClientboundGameProfilePacket; ClientboundLoginDisconnectPacket; ClientboundLoginCompressionPacket; ClientboundStatusResponsePacket; ClientboundPongResponsePacket; ClientboundKeepAlivePacket; ClientboundDisconnectPacket in method packetReceived
Steveice10_MCProtocolLib,com.github.steveice10.mc.protocol,MinecraftProtocol,Insufficient Modularization,The tool detected the smell in this class becuase the class has bloated interface (large number of public methods). Total public methods in the class: 23 public methods
Steveice10_MCProtocolLib,com.github.steveice10.mc.protocol,ServerListener,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
Steveice10_MCProtocolLib,com.github.steveice10.mc.protocol,ServerListener,Unexploited Encapsulation,The tool detected the smell because a set of type checks are performed while those types belong to the same hierarchy. The participating types that were checked are: ClientIntentionPacket; ServerboundHelloPacket; ServerboundKeyPacket; ServerboundStatusRequestPacket; ServerboundPingRequestPacket; ServerboundKeepAlivePacket in method packetReceived
Steveice10_MCProtocolLib,com.github.steveice10.mc.protocol,ServerListener,Missing Hierarchy,The tool detected the smell because a set of type checks are performed to explicitly manage variation in behavior where a hierarchy could have been formed consisting of these participating types. The participating types that were checked are: ClientIntentionPacket; ServerboundHelloPacket; ServerboundKeyPacket; ServerboundStatusRequestPacket; ServerboundPingRequestPacket; ServerboundKeepAlivePacket in method packetReceived
Steveice10_MCProtocolLib,com.github.steveice10.mc.protocol,ServerListener.UserAuthTask,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: session; key
Steveice10_MCProtocolLib,com.github.steveice10.mc.protocol,ServerListener.UserAuthTask,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
Steveice10_MCProtocolLib,com.github.steveice10.mc.protocol,ServerListener.KeepAliveTask,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: session
Steveice10_MCProtocolLib,com.github.steveice10.mc.protocol,ServerListener.KeepAliveTask,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
Steveice10_MCProtocolLib,com.github.steveice10.mc.protocol,MinecraftConstants,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: PROFILE_KEY; SESSION_SERVICE_KEY; AUTOMATIC_KEEP_ALIVE_MANAGEMENT; ACCESS_TOKEN_KEY; SERVER_INFO_HANDLER_KEY; SERVER_PING_TIME_HANDLER_KEY; VERIFY_USERS_KEY; SERVER_INFO_BUILDER_KEY; SERVER_LOGIN_HANDLER_KEY; PING_KEY; SERVER_COMPRESSION_THRESHOLD; PACKET_HEADER; SRV_RECORD_PREFIX
Steveice10_MCProtocolLib,com.github.steveice10.mc.protocol,MinecraftProtocolTest,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: HOST; PORT; SERVER_INFO; JOIN_GAME_PACKET; server; status; info; login; packet
Steveice10_MCProtocolLib,com.github.steveice10.mc.protocol,MinecraftProtocolTest.ServerInfoHandlerTest,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: status; info
Steveice10_MCProtocolLib,com.github.steveice10.mc.protocol,MinecraftProtocolTest.ServerInfoHandlerTest,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
Steveice10_MCProtocolLib,com.github.steveice10.mc.protocol,MinecraftProtocolTest.ServerInfoHandlerTest,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: status; info
Steveice10_MCProtocolLib,com.github.steveice10.mc.protocol,MinecraftProtocolTest.LoginListenerTest,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: login; packet
Steveice10_MCProtocolLib,com.github.steveice10.mc.protocol,MinecraftProtocolTest.LoginListenerTest,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
Steveice10_MCProtocolLib,com.github.steveice10.mc.protocol,MinecraftProtocolTest.LoginListenerTest,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: login; packet
Steveice10_MCProtocolLib,com.github.steveice10.mc.protocol,MinecraftProtocolTest.DisconnectListener,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: 
Steveice10_MCProtocolLib,com.github.steveice10.mc.protocol,MinecraftProtocolTest.DisconnectListener,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
Steveice10_MCProtocolLib,com.github.steveice10.mc.protocol.data,UnexpectedEncryptionException,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
Steveice10_MCProtocolLib,com.github.steveice10.mc.protocol.data,UnmappedValueException,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
Steveice10_MCProtocolLib,com.github.steveice10.mc.protocol.data,ProtocolState,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: 
