Project Name,Package Name,Type Name,Method Name,Implementation Smell,Cause of the Smell,Method start line no
cegeka_batchers,be.cegeka.batchers.taxcalculator.batch.service,JobResultsServiceImpl,getJobResults,Long Statement,The length of the statement "List<JobInstance> jobInstancesByJobName=jobExplorer.findJobInstancesByJobName(AbstractEmployeeJobConfig.EMPLOYEE_JOB`0`Integer.MAX_VALUE);" is 138.,35
cegeka_batchers,be.cegeka.batchers.taxcalculator.batch.service,JobResultsServiceImpl,getJobResults,Long Statement,The length of the statement "List<JobResult> collect=months.stream().map(mapJobStartParamsToJobResult(jobResultMap)).sorted((comparing(onYear).thenComparing(comparing(onMonth))).reversed()).collect(Collectors.toList());" is 190.,35
cegeka_batchers,be.cegeka.batchers.taxcalculator.batch.service,JobResultsServiceImpl,getMapOfJobResultsForJobInstances,Long Statement,The length of the statement "Map<JobInstance`List<JobExecution>> jobInstanceWithJobExecutions=jobInstancesWithJobExecutionsMap(jobInstancesByJobName);" is 121.,52
cegeka_batchers,be.cegeka.batchers.taxcalculator.batch.service,JobResultsServiceImpl,getMapOfJobResultsForJobInstances,Long Statement,The length of the statement "List<JobResult> jobResults=jobInstanceWithJobExecutions.entrySet().stream().map(jobExecutionMapper::toJobResultTo).collect(Collectors.toList());" is 144.,52
cegeka_batchers,be.cegeka.batchers.taxcalculator.batch.service,JobResultsServiceImpl,jobInstancesWithJobExecutionsMap,Long Statement,The length of the statement "return jobInstancesByJobName.stream().collect(toMap(instance -> instance`instance -> jobExplorer.getJobExecutions(instance)));" is 126.,69
cegeka_batchers,be.cegeka.batchers.taxcalculator.batch.service,JobResultsServiceImpl,getJobStartParamsPreviousMonths,Magic Number,The method contains a magic number: 12,85
cegeka_batchers,be.cegeka.batchers.taxcalculator.batch.service,TaxPaymentWebServiceFacade,callTaxService,Long Identifier,The length of the identifier successTaxWebserviceCallResult is 30.,20
cegeka_batchers,be.cegeka.batchers.taxcalculator.batch.service,TaxPaymentWebServiceFacade,callTaxService,Long Identifier,The length of the field taxWebserviceCallResultRepository is 33.,20
cegeka_batchers,be.cegeka.batchers.taxcalculator.batch.service,TaxPaymentWebServiceFacade,saveTaxServiceCallResult,Long Identifier,The length of the field taxWebserviceCallResultRepository is 33.,39
cegeka_batchers,be.cegeka.batchers.taxcalculator.batch.service,TaxCalculatorJobService,startJobs,Long Statement,The length of the statement "catch ( JobExecutionAlreadyRunningException|JobRestartException|JobInstanceAlreadyCompleteException|JobParametersInvalidException e) {" is 134.,49
cegeka_batchers,be.cegeka.batchers.taxcalculator.batch.service,JobExecutionMapper,jobExecutionToJobExecutionResultMapper,Long Statement,The length of the statement "return jobExecution -> new JobExecutionResult(jobExecution.getId()`jobExecution.getStatus().toString()`jobExecution.getStartTime()`jobExecution.getEndTime()`getDescription(jobExecution));" is 187.,41
